date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:35	50387/50387	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:32%20GMT	https://www.proformanceroofs.com/roofing-services/new-construction/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/new-construction/index.html	(from https://www.proformanceroofs.com/)
10:29:35	50461/50461	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:32%20GMT	https://www.proformanceroofs.com/roofing-services/storm-damage/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/storm-damage/index.html	(from https://www.proformanceroofs.com/)
10:29:35	53540/53540	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:32%20GMT	https://www.proformanceroofs.com/roofing-services/roof-repair/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/roof-repair/index.html	(from https://www.proformanceroofs.com/)
10:29:35	50288/50288	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:32%20GMT	https://www.proformanceroofs.com/roofing-services/insulation/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/roofing-services/insulation/index.html	(from https://www.proformanceroofs.com/)
10:29:35	52322/52322	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:32%20GMT	https://www.proformanceroofs.com/financing/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/financing/index.html	(from https://www.proformanceroofs.com/)
10:29:39	63651/63651	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:33%20GMT	https://www.proformanceroofs.com/products/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/products/index.html	(from https://www.proformanceroofs.com/)
10:29:40	29397/29397	---MC-	200	added ('OK')	text/javascript	date:Mon,%2003%20Aug%202020%2017:29:33%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.googleadservices.com/pagead/f.txt	(from https://www.proformanceroofs.com/)
10:29:40	145055/145055	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:33%20GMT	https://www.proformanceroofs.com/reviews/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/reviews/index.html	(from https://www.proformanceroofs.com/)
10:29:40	465022/465022	---MCZ	200	added ('OK')	image/svg+xml	etag:%221d669aec25b5600%22	https://www.proformanceroofs.com/cms/svg/admin/dup053e1r8m.36.svg	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/svg/admin/dup053e1r8m.36.svg	(from https://www.proformanceroofs.com/)
10:29:40	44765/44765	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:37%20GMT	https://www.proformanceroofs.com/contact-us/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/contact-us/index.html	(from https://www.proformanceroofs.com/)
10:29:40	13735/13735	---M-Z	200	added ('OK')	application/javascript	etag:%220aaf75427d3d51:0%22	https://www.proformanceroofs.com/cms/includes/a_1bfgxd0uf.2001241829564.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/a_1bfgxd0uf.2001241829564.js	(from https://www.proformanceroofs.com/)
10:29:41	51177/51177	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:38%20GMT	https://www.proformanceroofs.com/tampa/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/tampa/index.html	(from https://www.proformanceroofs.com/)
10:29:41	46432/46432	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:38%20GMT	https://www.proformanceroofs.com/blog/2019/december/new-year-new-you-new-roof/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2019/december/new-year-new-you-new-roof/index.html	(from https://www.proformanceroofs.com/)
10:29:41	47157/47157	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:38%20GMT	https://www.proformanceroofs.com/blog/2020/may/exterior-design-trends-of-2020/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2020/may/exterior-design-trends-of-2020/index.html	(from https://www.proformanceroofs.com/)
